MSR_Id;Lane;Direction;Latitude;Longitude;Name;Canton;Direction;Street 
CH:0075.02;lane1;negative;46.9042397;7.70723486;BOWIL, BORI;BE;ZAEZIWIL            ;H 10
CH:0077.04;lane2;negative;45.8399315;9.0212841;CHIASSO-BROGEDA (AS);TI;SCHWEIZ;A 2
CH:0077.05;lane2;positive;45.8409767;9.01960754;CHIASSO-BROGEDA (AS);TI;ITALIEN;A 2
CH:0180.02;lane2;positive;47.7408752;8.71370602;THAYNGEN;SH;SCHAFFHAUSEN        ;H 15
CH:0180.03;lane1;positive;47.7408409;8.71369839;THAYNGEN;SH;SCHAFFHAUSEN        ;H 15
CH:0077.06;lane1;positive;45.840992;9.01964569;CHIASSO-BROGEDA (AS);TI;ITALIEN;A 2
CH:0081.01;emergencyLane;negative;47.5387268;7.64480352;MUTTENZ, HARD (AB);BL;BASEL;A 2
CH:0727.04;lane2;positive;47.1540413;8.43402863;VERZW. RUETIHOF (AB);ZG;KUESSNACHT;A 4
CH:0567.02;lane1;positive;47.3417397;8.45885944;DREIECK ZUERICH-WEST 2 (AB) - ZH1203;ZH;ZUERICH / CHUR;A 4
CH:0116.01;lane1;positive;46.5017548;6.71498966;GRANDVAUX N (AR);VD;VEVEY               ;A 9
CH:0078.02;lane2;negative;46.7795029;6.9204278;PAYERNE S;VD;LAUSANNE            ;H 1
CH:0078.03;lane1;negative;46.7795105;6.92038774;PAYERNE S;VD;LAUSANNE            ;H 1
CH:0189.02;lane2;positive;47.0680008;6.76747799;LE LOCLE E;NE;LA CHAUX-DE-FONDS;H 20
CH:0079.02;lane1;negative;47.1616783;7.66601801;SEEBERG N;BE;KIRCHBERG           ;H 1
CH:0081.02;lane1;negative;47.5387535;7.6448245;MUTTENZ, HARD (AB);BL;BASEL;A 2
CH:0081.03;lane2;negative;47.5387955;7.64484501;MUTTENZ, HARD (AB);BL;BASEL;A 2
CH:0081.04;lane3;negative;47.5388184;7.64486027;MUTTENZ, HARD (AB);BL;BASEL;A 2
CH:0081.05;lane3;positive;47.538868;7.64490128;MUTTENZ, HARD (AB);BL;AUGST;A 2
CH:0727.05;lane1;positive;47.1540527;8.43408203;VERZW. RUETIHOF (AB);ZG;KUESSNACHT;A 4
CH:0116.02;lane2;positive;46.5017776;6.7150197;GRANDVAUX N (AR);VD;VEVEY               ;A 9
CH:0374.02;lane1;positive;47.3299561;8.52897263;WOLLISHOFEN (AB) RI SARGANS - ZH1215;ZH;SARGANS;A 3
CH:0374.03;lane2;positive;47.329937;8.5289259;WOLLISHOFEN (AB) RI SARGANS - ZH1215;ZH;SARGANS;A 3
CH:0340.06;lane2;negative;47.4585762;8.28536415;BADEN-WEST (AB) - AG1441;AG;Bern;A 1
CH:0340.07;lane1;negative;47.4586067;8.28535461;BADEN-WEST (AB) - AG1441;AG;Bern;A 1
CH:0340.05;lane3;negative;47.4585419;8.28537464;BADEN-WEST (AB) - AG1441;AG;Bern;A 1
CH:0743.03;lane1;positive;46.5611305;6.56062508;CRISSIER (AR) RI NORD;VD;VEVEY/YVERDON;A 1
CH:0743.04;lane2;positive;46.5611229;6.56058788;CRISSIER (AR) RI NORD;VD;VEVEY/YVERDON;A 1
CH:0743.05;lane3;positive;46.5611115;6.56054783;CRISSIER (AR) RI NORD;VD;VEVEY/YVERDON;A 1
CH:0083.03;lane2;negative;46.3830872;6.92486286;VILLENEUVE (AR);VD;VEVEY               ;A 9
CH:0083.04;lane1;negative;46.3830719;6.92491293;VILLENEUVE (AR);VD;VEVEY               ;A 9
CH:0608.01;lane1;positive;46.3768272;7.08004856;COL DES MOSSES;VD;CHATEAU D'OEX;H 11
CH:0647.02;lane1;positive;46.7805443;7.09024715;ANSCHLUSS MATRAN S;FR;BERN;A 12
CH:0647.03;lane2;positive;46.7805252;7.09019327;ANSCHLUSS MATRAN S;FR;BERN;A 12
CH:0601.01;lane1;positive;47.4275017;9.36142254;ST. GALLEN, SCHORENTUNNEL (AB);SG;ST. GALLEN;A 1
CH:0087.01;lane1;negative;47.6018295;9.29336357;GUETTINGEN;TG;KREUZLINGEN         ;H 13
CH:0844.01;lane1;positive;47.6910324;8.62208366;BAHNTAL GALGENBUCKTUNNEL;SH;SCHAFFHAUSEN;A 4
CH:0601.02;lane2;positive;47.4275131;9.36149502;ST. GALLEN, SCHORENTUNNEL (AB);SG;ST. GALLEN;A 1
CH:0844.05;lane5;positive;47.6912422;8.62165165;BAHNTAL GALGENBUCKTUNNEL;SH;SCHAFFHAUSEN;A 4
CH:0397.01;lane1;positive;46.6173973;7.13849306;CHARMEY;FR;JAUN;H 189
